PART	SOURCE	REF	TEXT
SIGA-REL	Slidedeck PPTX	line 9	[slide106] SIGA-REL INSTALLATION NOTES | Install the SIGA-REL only in an enclosure dedicated to the releasing device service. See â€œSpecificationsâ€ on page 5 for a list of compatible enclosures.  | Maintain a minimum clearance of 1 in. (25.4 mm) all around the SIGA-REL. The clearance space must also comply with NFPA 70 National Electrical Code, or with C22.1 Canadian Electrical Code, Part I.  | Installations that include other wiring require FPL, FPLR, FPLP, or equivalent NEC-approved wiring for all power-limited wiring.  | The SIGA-REL ships with 47  | kÎ© |  test resistors to prevent unused circuits from activating trouble events. When connecting the field wiring, remove the test resistors and terminate the circuits with UL/ULC Listed EOLRs.
SIGA-RELB	Exam DOCX	line 97	A. SIGA-RELB. SIGA-RM1C. SIGA-CRD. SIGA-CC1
SIGA-RM1	Exam DOCX	line 89	A. SIGA-CT2B. SIGA-CRHC. SIGA-CC1(S)D. SIGA-RM1
SIGA-RM1	Slidedeck PPTX	line 152	[slide95] The Signature Series Riser Monitor Module (model SIGA-RM1) is an intelligent analog-addressable device that monitors the integrity of:  | 12 and 24 Vdc circuits  | 25 Vac circuits  | 70 Vac circuits  | Telephone riser signals  | Once device address is required. Upon the loss of a signal, the fire alarm control panel indicates an alert status. The loop controller assigns an address to the SIGA-RM1 automatically. A custom address can also be assigned to the module via laptop computer. No addressing switches are used.  | Normal: Flashes green  | Alarm/active: Flashes red | SIGA-RM1 | MODULE
SIGA-RM1	Slidedeck PPTX	line 152	[slide95] The Signature Series Riser Monitor Module (model SIGA-RM1) is an intelligent analog-addressable device that monitors the integrity of:  | 12 and 24 Vdc circuits  | 25 Vac circuits  | 70 Vac circuits  | Telephone riser signals  | Once device address is required. Upon the loss of a signal, the fire alarm control panel indicates an alert status. The loop controller assigns an address to the SIGA-RM1 automatically. A custom address can also be assigned to the module via laptop computer. No addressing switches are used.  | Normal: Flashes green  | Alarm/active: Flashes red | SIGA-RM1 | MODULE
SIGA-RM1	Slidedeck PPTX	line 152	[slide95] The Signature Series Riser Monitor Module (model SIGA-RM1) is an intelligent analog-addressable device that monitors the integrity of:  | 12 and 24 Vdc circuits  | 25 Vac circuits  | 70 Vac circuits  | Telephone riser signals  | Once device address is required. Upon the loss of a signal, the fire alarm control panel indicates an alert status. The loop controller assigns an address to the SIGA-RM1 automatically. A custom address can also be assigned to the module via laptop computer. No addressing switches are used.  | Normal: Flashes green  | Alarm/active: Flashes red | SIGA-RM1 | MODULE
SIGA-RM1	Slidedeck PPTX	line 153	[slide96] SIGA-RM1 INSTALLATION NOTES | Disconnect power to cabinets before installing or removing components. Failure to do so may result in serious injury or loss of life. Dangerous voltages may be present at the terminals even when power is shut off.  | This module will not operate without electrical power. As fires frequently cause power interruption, we suggest you discuss further safeguards with your local fire protection specialist.  | This module does not support conventional smoke detectors.
SIGA-RM1	Slidedeck PPTX	line 154	[slide97] INSTALLING A SIGA-RM1 | Verify that all field wiring is free of opens, shorts, and ground faults.  | Make all wiring connections as shown in the wiring diagram.  | Write the address assigned to the module on the label provided and apply the label to the module. Peel off the removable serial number label from the module and apply it to the appropriate location in the serial number logbook.  | Using the 4-24 x 5/16 in (8 mm) self-tapping screw provided, mount the wall plate to the module.  | Using the four 6-32 x 1/2 in (13 mm) machine screws provided, mount the module to the electrical box.
SIGA-RM1	Slidedeck PPTX	line 155	[slide98] WIRING A SIGA-RM1
SIGA-RM1	Slidedeck PPTX	line 156	[slide99] SIGA-RM1 SPECIFICATIONS
SIGA-RM1C	Exam DOCX	line 97	A. SIGA-RELB. SIGA-RM1C. SIGA-CRD. SIGA-CC1
SIGA-RM1D	Exam DOCX	line 79	A. SIGA-CT1B. SIGA-CRC. SIGA-RM1D. SIGA-TCDR
SIGA-RM1D	Exam DOCX	line 85	A. SIGA-CRB. SIGA-CT1C. SIGA-RM1D. SIGA-TCDR
SIGA-SB4	Exam DOCX	line 73	23. SIGA-SB4 vs. SIGA-RB4
SIGA-SB4	Slidedeck PPTX	line 77	[slide27] SIGA-SB4 | The Signature Detector 4-inch Standard Base is used to mount Signature detectors on 4-inch square boxes. It provides wiring terminals for connecting a SIGA-LED and ships with a matching trim skirt.
SIGA-SB4	Slidedeck PPTX	line 78	[slide28] INSTALLING A SIGA-SB4 | Mount the detector base on a compatible electrical box using the screws provided with the electrical box.  | Wire the base as shown in the â€œWiringâ€ below section.  | Write the address assigned to the detector on the label provided and apply the label to the inside rim of the base.  | Install the trim skirt to finish the installation.
SIGA-SB4	Slidedeck PPTX	line 79	[slide29] WIRING A SIGA-SB4
SIGA-SB4	Slidedeck PPTX	line 81	[slide30] SIGA-SB4 SPECIFICATIONS
SIGA-SD	Exam DOCX	line 272	Duct smoke detection â€” products such as SIGA-SD, SIGA-DDOS, or the SIGA-SDH housing/application should be considered based on the specific system requirement.
SIGA-SD	Exam DOCX	line 75	25. SIGA-SD vs. SIGA-SDH
SIGA-SD	Slidedeck PPTX	line 124	[slide7] est ADDRESSABLE DUCT DETECTOR evolution | SIGA-SDH | SIGA-SD | SIGA-DDOS
SIGA-SDH	Exam DOCX	line 272	Duct smoke detection â€” products such as SIGA-SD, SIGA-DDOS, or the SIGA-SDH housing/application should be considered based on the specific system requirement.
SIGA-SDH	Exam DOCX	line 75	25. SIGA-SD vs. SIGA-SDH
SIGA-SDH	Slidedeck PPTX	line 106	[slide53] SIGA-SDH | The SIGA-SDH(R) duct detector housing assembly is used to install compatible Signature Series smoke detectors in HVAC air duct smoke detection applications. See the table below for a list of duct detector housing assembly models.  | DETECTOR
SIGA-SDH	Slidedeck PPTX	line 106	[slide53] SIGA-SDH | The SIGA-SDH(R) duct detector housing assembly is used to install compatible Signature Series smoke detectors in HVAC air duct smoke detection applications. See the table below for a list of duct detector housing assembly models.  | DETECTOR
SIGA-SDH	Slidedeck PPTX	line 107	[slide54] SIGA-SDH INSTALLATION NOTES | Install the duct smoke detector on a flat section of the HVAC duct between six and ten duct widths from any bends or obstructions.  | Install supply-side duct smoke detectors downstream from the supply fan and after the air filter.  | Install return-side duct smoke detectors before the return air stream is diluted by outside air.  | Sampling tubes must extend at least two-thirds across the width of the air duct. Sampling tubes longer than 36 inches must be supported at both ends.
SIGA-SDH	Slidedeck PPTX	line 108	[slide55] INSTALLING A SIGA-SDH | Drill a small hole in the HVAC duct at the point where the duct smoke detector is being installed. Using the SD-VTK Air Velocity Test Kit (ordered separately) and a suitable air velocity meter, verify that the air velocity in the HVAC duct falls within the specified operating range of the detector and note which direction the air flows. If the air velocity does not fall within the specified range, relocate the duct smoke detector, and then seal the hole in the HVAC duct.  | Attach the drill template to the HVAC duct, and then drill (or punch) the mounting holes where indicated. Remove any rough edges from the holes.  | Assemble the duct smoke detector. See Figure 1. Rotate the sampling tube so the inlet holes face the direction of airflow.  | Attach the duct smoke detector to the HVAC duct. See Figure 2. Secure the duct smoke detector using two sheet metal mounting screws provided in the hardware kit.  | Using a suitable air pressure differential meter, verify that the air pressure differential between the sampling tube opening and the exhaust tube opening is within the duct smoke detectorâ€™s operating specifications. See â€œSpecificationsâ€ on page 3.
SIGA-SDH	Slidedeck PPTX	line 109	[slide56] TESTING A SIGA-SDH | Remove the detector from its base and verify that the proper detector address, trouble signals, and messages are reported.  | For detectors placed in the air ducts, verify that the airflow is within specifications. See â€œSpecificationsâ€ below.  | If wired for Class A operation, verify that the detector continues to operate first with SLC_IN disconnected, and then with SLC_OUT disconnected. (Refer to the installation sheet for the base.)  | Place a momentary ground fault on the SLC circuit to verify operation of ground fault detection circuitry.  | Run a system detector sensitivity report on all detectors and verify that the readings fall within acceptable limits.  | If desired, use the fire alarm control panel to put the detector or zone into a service group for testing. (Refer to the panel technical reference manual for instructions.)  | Activate the smoke sensor using No Climb Products model Smoke Centurion/M8,  | FireTech |  Smoke or Smoke Sabre smoke aerosol spray, a smoke generator, or the  | Testifire |  detector tester per the manufacturerâ€™s instructions.
SIGA-SDH	Slidedeck PPTX	line 110	[slide57] SIGA-SDH SPECIFICATIONS
SIGA-SDH	Slidedeck PPTX	line 124	[slide7] est ADDRESSABLE DUCT DETECTOR evolution | SIGA-SDH | SIGA-SD | SIGA-DDOS
SIGA-TCDR	Exam DOCX	line 279	SIGA-TCDR
SIGA-TCDR	Exam DOCX	line 79	A. SIGA-CT1B. SIGA-CRC. SIGA-RM1D. SIGA-TCDR
SIGA-TCDR	Exam DOCX	line 85	A. SIGA-CRB. SIGA-CT1C. SIGA-RM1D. SIGA-TCDR
SIGA-TCDR	Exam DOCX	line 92	33. What is the primary purpose of the SIGA-TCDR?
SIGA-TCDR	Exam DOCX	line 94	34. How many SIGA-TCDR modules are required for each TCDR riser?
SIGA-TCDR	Slidedeck PPTX	line 145	[slide89] The Signature Series model SIGA-TCDR Temporal Pattern Generator is an addressable device that generates sound patterns for fire or carbon monoxide (CO) alarms for compatible audible (sounder) bases. | When an alarm condition occurs, the detector notifies the panel and the panel commands the SIGA-TCDR to activate the TCDR riser. The SIGA-TCDR generates the appropriate pattern and synchronizes all the audible bases on a single SLC. The SLC controller synchronizes multiple SIGA-TCDRs installed on the same SLC.  | Normal: Flashes green  | Alarm/active: Flashes red | SIGA-TCDR | MODULE
SIGA-TCDR	Slidedeck PPTX	line 145	[slide89] The Signature Series model SIGA-TCDR Temporal Pattern Generator is an addressable device that generates sound patterns for fire or carbon monoxide (CO) alarms for compatible audible (sounder) bases. | When an alarm condition occurs, the detector notifies the panel and the panel commands the SIGA-TCDR to activate the TCDR riser. The SIGA-TCDR generates the appropriate pattern and synchronizes all the audible bases on a single SLC. The SLC controller synchronizes multiple SIGA-TCDRs installed on the same SLC.  | Normal: Flashes green  | Alarm/active: Flashes red | SIGA-TCDR | MODULE
SIGA-TCDR	Slidedeck PPTX	line 145	[slide89] The Signature Series model SIGA-TCDR Temporal Pattern Generator is an addressable device that generates sound patterns for fire or carbon monoxide (CO) alarms for compatible audible (sounder) bases. | When an alarm condition occurs, the detector notifies the panel and the panel commands the SIGA-TCDR to activate the TCDR riser. The SIGA-TCDR generates the appropriate pattern and synchronizes all the audible bases on a single SLC. The SLC controller synchronizes multiple SIGA-TCDRs installed on the same SLC.  | Normal: Flashes green  | Alarm/active: Flashes red | SIGA-TCDR | MODULE
SIGA-TCDR	Slidedeck PPTX	line 145	[slide89] The Signature Series model SIGA-TCDR Temporal Pattern Generator is an addressable device that generates sound patterns for fire or carbon monoxide (CO) alarms for compatible audible (sounder) bases. | When an alarm condition occurs, the detector notifies the panel and the panel commands the SIGA-TCDR to activate the TCDR riser. The SIGA-TCDR generates the appropriate pattern and synchronizes all the audible bases on a single SLC. The SLC controller synchronizes multiple SIGA-TCDRs installed on the same SLC.  | Normal: Flashes green  | Alarm/active: Flashes red | SIGA-TCDR | MODULE
SIGA-TCDR	Slidedeck PPTX	line 147	[slide90] SIGA-TCDR
SIGA-TCDR	Slidedeck PPTX	line 148	[slide91] SIGA-TCDR INSTALLATION NOTES | The SIGA-TCDR Temporal Pattern Generator is shipped from the factory as an assembled unit; it contains no user-serviceable parts and should not be disassembled. |  Only one module is required for each TCDR riser.
SIGA-TCDR	Slidedeck PPTX	line 148	[slide91] SIGA-TCDR INSTALLATION NOTES | The SIGA-TCDR Temporal Pattern Generator is shipped from the factory as an assembled unit; it contains no user-serviceable parts and should not be disassembled. |  Only one module is required for each TCDR riser.
SIGA-TCDR	Slidedeck PPTX	line 149	[slide92] INSTALLING A SIGA-TCDR | Verify that all field wiring is free of opens, shorts, and ground faults.  | Make the wiring connections as shown in Figure  | Install the module as shown in Figure 2. See â€œSpecificationsâ€ on page 2 for compatible electrical boxes.
SIGA-TCDR	Slidedeck PPTX	line 150	[slide93] WIRING A SIGA-TCDR
SIGA-TCDR	Slidedeck PPTX	line 151	[slide94] SIGA-TCDR SPECIFICATIONS
SIGA-TCDR	Slidedeck PPTX	line 86	[slide35] SIGA-AB4GT | The Signature Series model SIGA-AB4GT CO Compatible Sounder Base is a sounder base specifically designed for use with CO sensors. It is not compatible with a coded system. The base uses the same address and programming label as the detector it supports. It requires a SIGA-TCDR Temporal Pattern Generator to add the audible output function to any Signature Series detector.
SIGA-TCDR	Slidedeck PPTX	line 90	[slide39] SIGA-AB4-LF | The SIGA-AB4G-LF Low Frequency Audible Detector Base adds 520 Hz audible output functions to any compatible detector listed in Table 2. The output of the base is field-configurable for output mode (fire alarm or fire-plus-CO alarm) and output volume (low or high dBA).  | For the fire output mode, the base firmware generates TC3 tones. Synchronized operation requires a separately installed synchronization control module. For the fire-plus-CO mode, the base generates a steady tone. The power circuit requires a SIGA-TCDR temporal pattern generator module to generate and synchronize the TC3 and TC4 tones.  | Depending on the system supporting the detector signaling line circuit (SLC), the base can follow the state of the detector it supports, or can be controlled by program rules. This allows local or zoned operation.
SIGA-TCDRS	Slidedeck PPTX	line 145	[slide89] The Signature Series model SIGA-TCDR Temporal Pattern Generator is an addressable device that generates sound patterns for fire or carbon monoxide (CO) alarms for compatible audible (sounder) bases. | When an alarm condition occurs, the detector notifies the panel and the panel commands the SIGA-TCDR to activate the TCDR riser. The SIGA-TCDR generates the appropriate pattern and synchronizes all the audible bases on a single SLC. The SLC controller synchronizes multiple SIGA-TCDRs installed on the same SLC.  | Normal: Flashes green  | Alarm/active: Flashes red | SIGA-TCDR | MODULE
SIGA-UIO6	Exam DOCX	line 277	SIGA-UIO6 / SIGA-UIO6R
SIGA-UIO6	Exam DOCX	line 87	A. SIGA-CRB. SIGA-CRHC. SIGA-CC1D. SIGA-UIO6
SIGA-UIO6	Slidedeck PPTX	line 3	[slide100] The Signature Series Universal Input/Output Motherboards (SIGA-UIO6 and SIGA-UIO6R) provide mounting and wiring terminations for up to six M series modules.   | Normal: Flashes green  | Alarm/active: Flashes red | SIGA-UIO6 | MODULE
SIGA-UIO6	Slidedeck PPTX	line 3	[slide100] The Signature Series Universal Input/Output Motherboards (SIGA-UIO6 and SIGA-UIO6R) provide mounting and wiring terminations for up to six M series modules.   | Normal: Flashes green  | Alarm/active: Flashes red | SIGA-UIO6 | MODULE
SIGA-UIO6	Slidedeck PPTX	line 4	[slide101] SIGA-UIO6 INSTALLATION NOTES | Group all modules with nonpower-limited sources to the right of the motherboard and route their wiring to the right  | Group all modules with power-limited sources to the left of the motherboard and route their wiring to the left  | Maintain 1/4-inch separation between power-limited and nonpower-limited wiring, or use FPL, FPLR, FPLP, or an equivalent in accordance with the National Electric Code
SIGA-UIO6	Slidedeck PPTX	line 5	[slide102] INSTALLING A SIGA-UIO6 | See â€œSpecificationsâ€ to determine the correct enclosure and clearance space for a particular motherboard.  | Use the motherboard to mark the mounting hole locations.  | Drill 0.125 in (3.175 mm) mounting holes.  | Mount the motherboard in the cabinet using the screws and washers provided.
SIGA-UIO6	Slidedeck PPTX	line 6	[slide103] WIRING A SIGA-UIO6
SIGA-UIO6	Slidedeck PPTX	line 7	[slide104] SIGA-UIO6 SPECIFICATIONS
SIGA-UIO6R	Exam DOCX	line 277	SIGA-UIO6 / SIGA-UIO6R
SIGA-UIO6R	Slidedeck PPTX	line 3	[slide100] The Signature Series Universal Input/Output Motherboards (SIGA-UIO6 and SIGA-UIO6R) provide mounting and wiring terminations for up to six M series modules.   | Normal: Flashes green  | Alarm/active: Flashes red | SIGA-UIO6 | MODULE
